단어,ASLLVD 개수,WLASL 개수,총 개수
FAMOUS,4,9,13
COACH,4,9,13
MICROPHONE,5,8,13
RESPONSIBILITY,5,8,13
FANCY+BOX/ROOM,3,10,13
WRENCH/PLUMBING,4,9,13
ROAD,5,8,13
FLEXIBLE,4,9,13
PILLOW,2,11,13
DEPARTMENT,4,9,13
DIAMOND,2,11,13
"HORSE+ICL:S\holding moving pole\""""",2,11,13
SAY,3,10,13
SUN,3,10,13
SHAVE,5,8,13
EVALUATE,3,10,13
RAKE,3,10,13
OPINION,2,11,13
FLUTE,5,8,13
MAGIC,4,9,13
SEPARATE,3,10,13
REQUEST,4,9,13
QUEEN,2,11,13
PERCENT,4,9,13
CRUSH,5,8,13
CURRICULUM,3,10,13
SEVEN,4,9,13
ARTICLE,5,8,13
AHEAD,5,8,13
CHARACTER,3,10,13
PIANO,4,9,13
DENY,3,10,13
CONCERN,5,8,13
BOSS+LOWERCASE/TINY,2,11,13
EIGHT,3,10,13
CIGARETTE,4,9,13
(1h)HAMMER+AGENT,1,12,13
END,1,12,13
CONCEPT,5,8,13
KINDERGARTEN,6,7,13
WINE+POP-CORK,1,11,12
PERIOD,2,10,12
PRINT+AGENT,2,10,12
TOUCH,2,10,12
OPEN,2,10,12
PROJECT,2,10,12
BECOME+QUIET,2,10,12
PREDICT,2,10,12
"(2h)HORSE+ICL:S\holding moving pole\""""",1,11,12
EARTH+SPHERE,2,10,12
IF,2,10,12
BALD+ALL-GONE,1,11,12
VEGETABLE,2,10,12
THEN,2,10,12
SENATE,2,10,12
COP+RESEARCH,2,10,12
BORROW,1,11,12
INVITE/HIRE,2,10,12
VOCABULARY,2,10,12
SITUATION,2,10,12
NEGATIVE,1,11,12
SKY,1,11,12
ARM+SHORT-SLEEVE,1,11,12
ALLERGY,2,10,12
LEAD+AGENT,2,10,12
GLOVES,2,10,12
NOSE,1,11,12
SPECIAL/EXCEPT,1,11,12
BOTHER,1,11,12
NAPKIN,2,10,12
PREDICT+AGENT,2,10,12
NEUTRAL,1,11,12
MUSEUM,1,11,12
AUDIENCE,2,10,12
SIDE,2,10,12
CELEBRATE+(2h)IX-honorific:upward,2,10,12
POLICY,2,10,12
UMBRELLA,2,10,12
WASH+DISH-pl,1,11,12
MOUNTAIN,2,10,12
GROW+COLLECT,2,10,12
PROUD,4,8,12
SOMETIMES,2,10,12
SCREWDRIVER,2,10,12
EFFORT,4,8,12
DIZZY,4,8,12
ALL-DAY,4,8,12
PERFUME,4,8,12
PLENTY,4,8,12
REFER,4,8,12
CRAB/LOBSTER,4,8,12
WONDER,4,8,12
ALCOHOL,4,8,12
STRUCTURE,2,10,12
DORM,4,8,12
EXPAND,4,8,12
A,4,8,12
TEAM,2,10,12
QUESTION,2,10,12
CONFRONT,4,8,12
PAY-ATTENTION,4,8,12
WORM,2,10,12
RAINBOW,2,10,12
SWEATER,2,10,12
SWIM,2,10,12
WOLF,2,10,12
IDENTIFY,4,8,12
PUNISH,2,10,12
SYMBOL,2,10,12
REVENGE,2,10,12
INNOCENT,4,8,12
EYES,4,8,12
PRINCIPAL,4,8,12
RICH,2,10,12
OCTOPUS,4,8,12
EACH+ONE,3,9,12
EACH+ONE-pl-arc,3,9,12
BULL,3,9,12
DINNER+BOX/ROOM,3,9,12
FUNERAL,3,9,12
DINNER,3,9,12
UNDER,3,9,12
CLOWN,3,9,12
COCONUT,3,9,12
WALL,3,9,12
CENT+EIGHT,3,9,12
CATHOLIC,3,9,12
OUT,3,9,12
REFUSE,3,9,12
PICK/CHOOSE,3,9,12
HOLD,3,9,12
MIND+OFF-COURSE,3,9,12
OPPOSITE+AGENT,3,9,12
SWING,3,9,12
SURFACE,3,9,12
PREVENT,3,9,12
FEDERAL,4,8,12
WASH-FACE,4,8,12
PSYCHOLOGY+AGENT,2,10,12
WEEKLY,2,10,12
AGAINST,4,8,12
WELCOME,2,10,12
REVIEW,2,10,12
ERASE,4,8,12
TRY,2,10,12
SOCKS,2,10,12
KARATE,4,8,12
CALCULUS,4,8,12
CEILING,4,8,12
SLAVE,2,10,12
TORNADO,4,8,12
BRA,4,8,12
BUG,4,8,12
BROKE,4,8,12
TOURNAMENT,2,10,12
BUTTON,4,8,12
START,2,10,12
ACT+AGENT,5,7,12
ANYWAY/NOT-MATTER,5,7,12
CREATE/PRETEND,5,7,12
ASSIST,5,7,12
GET-UP,5,7,12
EMERGENCY,5,7,12
SPIN,2,10,12
CATERPILLAR,6,6,12
KANGAROO,4,8,12
EACH,3,9,12
LAPTOP,4,8,12
B,4,8,12
AUTHORITY,4,8,12
KNOCK,4,8,12
LIPSTICK,4,8,12
INTERNATIONAL,4,8,12
LAST-WEEK,4,7,11
STICKY,3,8,11
NEXT+AGENT,1,10,11
NEXT,1,10,11
DISCIPLINE,4,7,11
CONGRATULATIONS,4,7,11
NINE,4,7,11
SPELL,3,8,11
EACH+WHERE,2,9,11
SCOLD,3,8,11
ADDRESS,3,8,11
CROWN,4,7,11
NECK,1,10,11
LOCAL,3,8,11
GYMNASTICS,4,7,11
OCEAN,2,9,11
PARALLEL,3,8,11
HANUKKAH,4,7,11
H,4,7,11
AUDIOLOGY+AGENT,4,7,11
CIRCLE,3,8,11
SPIDER,1,10,11
REMOVE,1,10,11
MISTAKE,4,7,11
MIDNIGHT,4,7,11
TEN,4,7,11
BRA+UNDERPANTS,3,8,11
BOIL,4,7,11
GUN,3,8,11
INSPIRE,4,7,11
POPCORN,2,9,11
LIGHTNING,3,8,11
DEMOCRAT,4,7,11
ELEMENTARY,4,7,11
LICENSE,4,7,11
ROOSTER,1,10,11
LORD,4,7,11
KID,4,7,11
(B-L)NAPKIN,1,10,11
M,4,7,11
TWO+HOUR,1,10,11
F,4,7,11
BEAUTIFUL+DRESS/CLOTHES,1,10,11
EVERY-MONDAY,4,7,11
EVERY-TUESDAY,4,7,11
ALLIGATOR,4,7,11
SUSPEND,4,7,11
RIVER,1,10,11
EXPRESS,4,7,11
K,4,7,11
SURPRISE,1,10,11
LITTLE-BIT,4,7,11
PROGRESS,4,7,11
POCKET,2,9,11
ALMOST,1,10,11
CURTAIN,4,7,11
GAY,4,7,11
GANG,4,7,11
FIVE,4,7,11
G,4,7,11
CLIMB,1,10,11
D,4,7,11
EIGHT+HOUR,1,10,11
HILL,4,7,11
THOUSAND,1,10,11
SUPPORT+AGENT,1,10,11
FROM-NOW-ON,4,7,11
INDIVIDUAL,4,7,11
ON,2,9,11
SQUARE+DOOR,1,10,11
HURRICANE,3,8,11
SNOB,2,9,11
SMELL,2,9,11
THERMOMETER,2,9,11
LINGUISTICS,2,9,11
PIE,2,9,11
LIFT,3,8,11
WIDE,2,9,11
RELATIONSHIP,2,9,11
CENT+TWENTY-FIVE,2,9,11
RESULT,2,9,11
GORILLA,2,9,11
FACULTY,2,9,11
TRADITION,2,9,11
WORKSHOP,2,9,11
SUBWAY,2,9,11
MAXIMUM,2,9,11
SUFFER,2,9,11
RING,2,9,11
SUBTRACT,2,9,11
WATERMELON,2,9,11
LABEL,2,9,11
TEETH,2,9,11
JUDGE,2,9,11
MIDDLE+WEST,2,9,11
WHALE,3,8,11
BELL,2,9,11
CROSS,3,8,11
CONSTITUTION,3,8,11
PREGNANT,2,9,11
TROPHY,2,9,11
SHAMPOO,2,9,11
COURT+HOUSE,3,8,11
HONEST,2,9,11
SENSITIVE,2,9,11
TOOTHBRUSH,2,9,11
COURT+AGENT,3,8,11
PHYSICS,2,9,11
TROUBLE,2,9,11
TIPTOE,2,9,11
THROUGH,2,9,11
DOWNSTAIRS,3,8,11
THROAT,2,8,10
CENT+ONE,1,9,10
CENT+FIVE,1,9,10
CARELESS,2,8,10
STRAWBERRY,1,9,10
DYE,3,7,10
BEE,1,9,10
SAUCE,2,8,10
CHERRY,1,9,10
SEVEN+HOUR,1,9,10
STILL,2,8,10
STAMP,1,9,10
SAFE+AGENT,2,8,10
TECHNOLOGY+AGENT,2,8,10
WALLET,2,8,10
SAFE,2,8,10
MIND+BLOW-UP,1,9,10
GROW-UP,2,8,10
QUOTE/TOPIC,2,8,10
SENIOR,2,8,10
SILVER,2,8,10
TAN,1,9,10
SIMPLE,2,8,10
HIDE,1,9,10
TUTOR,2,8,10
ROPE,1,9,10
OVERLOOK,1,9,10
SKUNK,2,8,10
REPORT,1,9,10
STATISTICS,2,8,10
REDUCE,2,8,10
TONGUE,2,8,10
SIX+HOUR,1,9,10
(L-X)THICK,2,8,10
CHAPTER,2,8,10
NOTHING,1,9,10
WRAP,2,8,10
SOCIETY,2,8,10
REPORT+AGENT,1,9,10
FIX,1,9,10
BETWEEN/SHARE+AGENT,3,7,10
ONCE,2,8,10
PARAGRAPH,2,8,10
P,2,8,10
SHOOT,3,7,10
PREACH,2,8,10
PET/SPOILED,2,8,10
BETWEEN/SHARE,3,7,10
(S)MOSQUITO,3,7,10
HONEY/DEAR,2,8,10
MELT/SOLVE,3,7,10
COMMITTEE,3,7,10
I,3,7,10
ADMIT,3,7,10
PITY,2,8,10
ALGEBRA,2,8,10
NUT,2,8,10
SAW,3,7,10
AUDIOLOGY,3,7,10
SCREAM,3,7,10
TORTURE,3,7,10
"GANG+SCL:C\group go together\""""",3,7,10
OWL,2,8,10
BONE,2,8,10
WORSE,1,9,10
E,3,7,10
(1h)(L-X)INTERESTING+ZERO_2,1,9,10
PREACH+AGENT,2,8,10
J,3,7,10
POLITICS,2,8,10
TEMPLE,2,8,10
GEOMETRY,3,7,10
AUCTION,2,8,10
POUND/WEIGH,2,8,10
RUBBER,2,8,10
PERSONALITY,2,8,10
ANGLE,2,8,10
PRIORITY,2,8,10
NUN,2,7,9
TOWEL,2,7,9
STIR,2,7,9
U,2,7,9
TURN+FATHER,2,7,9
TURN+BROTHER,2,7,9
INTERRUPT,1,8,9
TEND,2,7,9
SKI,2,7,9
TURN,2,7,9
STING,2,7,9
SPIT,2,7,9
MOTOR,1,8,9
O,2,7,9
TOBACCO,2,7,9
VERY,2,7,9
PRINCESS,2,7,9
PRINCE,2,7,9
VALLEY,2,7,9
TRIP,2,7,9
(X)FOOL/DOLL+DAY,2,7,9
SPILL,2,7,9
VISUALIZE,2,7,9
STITCH,2,7,9
THAN,2,7,9
PACK,2,7,9
PARACHUTE,1,8,9
TURN+SISTER,2,7,9
FIRE+PLACE,2,7,9
SLICE,1,8,9
Q,2,7,9
GOLD/ns-CALIFORNIA+YELLOW,1,8,9
COMMON-SENSE,2,7,9
S,2,7,9
R,2,7,9
CALCULATOR,1,8,9
MOTIVATE+AGENT,2,7,9
STUCK,2,7,9
MOTIVATE,2,7,9
AVAILABLE,2,7,9
MOOSE,2,7,9
RUIN,2,7,9
JEWELRY,2,7,9
N,2,7,9
MILITARY,2,7,9
(1h)HAIRCUT+AGENT,1,8,9
TEMPT,2,7,9
COURT+BOX/ROOM,1,8,9
HAIRCUT+AGENT,1,8,9
CUSTOMER,2,7,9
CHRIST,2,7,9
UPSTAIRS,2,7,9
TURN+MOTHER,2,7,9
THEREFORE,2,7,9
V,2,7,9
PEAR,2,7,9
HOLY,2,7,9
WHEELCHAIR,2,7,9
VOLLEYBALL,2,7,9
POUR,1,8,9
W,2,7,9
DETECTIVE,2,7,9
T,2,7,9
PNEUMONIA,1,8,9
(cocked-8)FOOL,1,7,8
TELESCOPE,1,7,8
ROOMMATE,1,7,8
"CROWN+DCL:4\coronet\""""",1,7,8
NOTICE,1,7,8
DRAGON,1,7,8
PICKLE,1,7,8
FIRE/BURN+PLACE,1,7,8
ENGINE,1,7,8
ADAPT,1,7,8
SUNSHINE,1,7,8
SPREAD,1,7,8
HEAP,1,7,8
LEAK,1,7,8
NINE+HOUR,1,7,8
SOMETHING/ONE,1,7,8
